0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:22:13 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:22:13 +0900] "GET /Practice_web/practice_parallax/img/pink_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:22:13 +0900] "GET /Practice_web/practice_parallax/img/whitepaint.jpg HTTP/1.1" 200 1448860
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:23:01 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:23:01 +0900] "GET /Practice_web/practice_parallax/img/whitepaint.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:23:01 +0900] "GET /Practice_web/practice_parallax/img/pink_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:23:57 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:23:57 +0900] "GET /Practice_web/practice_parallax/img/pink_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:23:57 +0900] "GET /Practice_web/practice_parallax/img/whitepaint.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:24:27 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:24:27 +0900] "GET /Practice_web/practice_parallax/img/whitepaint.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:24:27 +0900] "GET /Practice_web/practice_parallax/img/pink_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:24:57 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:24:57 +0900] "GET /Practice_web/practice_parallax/img/whitepaint.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:25:20 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:25:20 +0900] "GET /Practice_web/practice_parallax/img/whitepaint.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:25:20 +0900] "GET /Practice_web/practice_parallax/img/pink_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:25:59 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2477
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:25:59 +0900] "GET /Practice_web/practice_parallax/img/whitepaint.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:26:00 +0900] "GET /Practice_web/practice_parallax/img/pink_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:28:04 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:28:04 +0900] "GET /Practice_web/practice_parallax/img/pink_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:28:04 +0900] "GET /Practice_web/practice_parallax/img/whitepaint.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:28:51 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:28:51 +0900] "GET /Practice_web/practice_parallax/img/whitepaint.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:28:55 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:28:56 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:28:56 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
